feature,importance,std
Component2_fraction,0.1915038835139946,0.1528552981053287
Component5_fraction,0.16130723903968633,0.11881245049266843
blend_diversity,0.06251649376511258,0.023059429309689416
dominant_2,0.04359165097307244,0.04740475403476448
Component4_fraction,0.04224246405476424,0.04745075396666143
top2_ratio,0.03393874145090208,0.011800441024092596
dominant_component,0.033635371599999166,0.02528004836804691
fraction_std,0.030550852664377005,0.01426700173950801
dominant_4,0.027988344496537032,0.03784800635379978
Component2_Property5,0.022542691144043496,0.059778778073412336
Component4_Property9,0.022239332850716838,0.05908912413874227
max_fraction,0.01973832756610589,0.007861563402190819
Component1_fraction,0.019626706218696176,0.007015527561070284
Component4_Property6,0.017447733361929743,0.0403801431045219
Component4_Property8,0.01296177909765083,0.030771722925693953
Component4_Property2,0.011511473633957464,0.028059875423617524
Component3_Property6,0.01083301107653149,0.02165409191596268
Component1_Property7,0.009868146001820639,0.0164563496450601
significant_components,0.009449180582216835,0.005371836698926604
Component2_Property7,0.009342905167693418,0.014126958407397654
Component5_Property8,0.008129245018543245,0.0180122813384745
Component3_Property10,0.007827160633565434,0.017224129822460656
Component3_Property4,0.00781736277133376,0.01678554172256277
Component3_Property7,0.007568100536188903,0.011898001553389858
dominant_1,0.007389230208677891,0.0052988996254596295
dominant_5,0.007013604861907295,0.00674883825901581
Component1_Property8,0.006948208851926168,0.01326125587025873
Component3_Property8,0.0068515358802808375,0.015263883762022324
Component3_Property1,0.0068127983310266125,0.014793182987927405
Component4_Property1,0.006563311716237486,0.014930649338680716
Component4_Property4,0.006459661309224575,0.01352999149652845
Component3_Property2,0.006388857017223188,0.012813300020223534
Component1_Property5,0.006284140724244373,0.010371074300072424
Component1_Property4,0.0062701714428915045,0.01120362317159506
Component5_Property2,0.005732897854662477,0.01277375173548153
Component2_Property8,0.005668042385311092,0.006099230830434553
Component1_Property6,0.005554076722478321,0.010963862975910076
Component2_Property6,0.005525416962111428,0.009599088341840926
Component5_Property6,0.0055186563470169085,0.011501753089313515
Component1_Property1,0.005301751481205412,0.01055111439394645
Component4_Property7,0.005267616954443978,0.005131024315299256
Component2_Property4,0.005221944381388801,0.009660260801340319
Component5_Property4,0.004647157899037737,0.0073866008673294506
Component1_Property2,0.00405746725821068,0.004265573336059327
Component3_Property5,0.003950036862159617,0.0028779119383626124
Component3_Property9,0.0039335667228786505,0.0056587814655007
Component5_Property1,0.0037916570875168435,0.006852646595519023
Component2_Property1,0.0037077024213708503,0.006689666996831727
Component1_Property10,0.003661486059668056,0.003662893384819693
Component2_Property9,0.0036047683045006677,0.004193731711439861
Component4_Property5,0.0035410592592813087,0.0032563601028970848
Component1_Property9,0.0033912183780303224,0.0020345244952248913
Component4_Property10,0.0030702148448474033,0.002969725220246166
Component5_Property7,0.002833211802149972,0.0028165260775683426
Component5_Property9,0.0025337121617890336,0.003147457673078711
Component5_Property5,0.0024442516938459934,0.001334002937803673
Component5_Property10,0.0022797078361603057,0.0011345180815184885
Component2_Property2,0.002085564364226332,0.0025131501159838788
Component2_Property3,0.0020602667265398156,0.0006334146652664099
Component1_Property3,0.002058387169365051,0.0010080533182986696
Component2_Property10,0.0020086971718336747,0.001984909448537084
Component5_Property3,0.0020029685355702383,0.0009240570910688978
Component4_Property3,0.0019201444859122518,0.0007379114393442346
Component3_Property3,0.0014666323034072015,0.0005155445016119195
